cond,elev,hum,lat,lng,loc,pres,temp,time
Partly Cloudy,911.858398438,0.79,12.9715987,77.5945627,"Bangalore,India",1000.0,65.4,1451586600
Foggy,911.858398438,1.0,12.9715987,77.5945627,"Bangalore,India",1000.0,64.0,1451590200
Foggy,911.858398438,1.0,12.9715987,77.5945627,"Bangalore,India",1000.0,64.0,1451593800
Foggy,911.858398438,0.86,12.9715987,77.5945627,"Bangalore,India",1000.0,62.57,1451597400
Foggy,911.858398438,1.0,12.9715987,77.5945627,"Bangalore,India",1000.0,66.0,1451601000
Foggy,911.858398438,1.0,12.9715987,77.5945627,"Bangalore,India",1000.0,66.0,1451604600
Mostly Cloudy,911.858398438,0.86,12.9715987,77.5945627,"Bangalore,India",1015.6,61.38,1451608200
Clear,911.858398438,0.95,12.9715987,77.5945627,"Bangalore,India",1000.0,61.68,1451611800
Clear,911.858398438,0.85,12.9715987,77.5945627,"Bangalore,India",1000.0,63.68,1451615400
Foggy,911.858398438,0.79,12.9715987,77.5945627,"Bangalore,India",1025.26,65.16,1451619000
Clear,911.858398438,0.67,12.9715987,77.5945627,"Bangalore,India",1000.0,69.59,1451622600
Clear,911.858398438,0.56,12.9715987,77.5945627,"Bangalore,India",1000.0,73.59,1451626200
Mostly Cloudy,911.858398438,0.5,12.9715987,77.5945627,"Bangalore,India",1018.3,74.42,1451629800
Clear,911.858398438,0.44,12.9715987,77.5945627,"Bangalore,India",1000.0,79.68,1451633400
Clear,911.858398438,0.38,12.9715987,77.5945627,"Bangalore,India",1000.0,81.68,1451637000
Partly Cloudy,911.858398438,0.35,12.9715987,77.5945627,"Bangalore,India",1000.0,80.02,1451640600
Clear,911.858398438,0.37,12.9715987,77.5945627,"Bangalore,India",1000.0,82.46,1451644200
Breezy,911.858398438,0.39,12.9715987,77.5945627,"Bangalore,India",1000.0,81.23,1451647800
Partly Cloudy,911.858398438,0.37,12.9715987,77.5945627,"Bangalore,India",1014.06,74.84,1451651400
Clear,911.858398438,0.51,12.9715987,77.5945627,"Bangalore,India",1000.0,73.0,1451655000
Clear,911.858398438,0.58,12.9715987,77.5945627,"Bangalore,India",1000.0,72.0,1451658600
Partly Cloudy,911.858398438,0.49,12.9715987,77.5945627,"Bangalore,India",1000.0,69.45,1451662200
Clear,911.858398438,0.62,12.9715987,77.5945627,"Bangalore,India",1000.0,70.0,1451665800
Clear,911.858398438,0.72,12.9715987,77.5945627,"Bangalore,India",1000.0,67.09,1451669400
Partly Cloudy,911.858398438,0.8,12.9715987,77.5945627,"Bangalore,India",1000.0,66.45,1452191400
Clear,911.858398438,1.0,12.9715987,77.5945627,"Bangalore,India",1000.0,70.0,1452195000
Clear,911.858398438,1.0,12.9715987,77.5945627,"Bangalore,India",1000.0,66.0,1452198600
Partly Cloudy,911.858398438,0.79,12.9715987,77.5945627,"Bangalore,India",1000.0,64.09,1452202200
Clear,911.858398438,1.0,12.9715987,77.5945627,"Bangalore,India",1000.0,66.0,1452205800
Foggy,911.858398438,1.0,12.9715987,77.5945627,"Bangalore,India",1000.0,66.0,1452209400
Partly Cloudy,911.858398438,0.87,12.9715987,77.5945627,"Bangalore,India",1014.4,62.75,1452213000
Foggy,911.858398438,0.95,12.9715987,77.5945627,"Bangalore,India",1000.0,61.68,1452216600
Foggy,911.858398438,0.88,12.9715987,77.5945627,"Bangalore,India",1000.0,64.46,1452220200
